,ID,Frame,X,Y,Contours
0,38.0,0.0,139.9545709192768,201.25974025974025,"13    [[149.50196078431372, 206.0], [149.50196078431...
Name: Contours, dtype: object"
1,38.0,1.0,139.92171037089534,201.6265060240964,"61    [[150.50196078431372, 205.0], [150.50196078431...
Name: Contours, dtype: object"
2,38.0,2.0,136.3861007694217,202.1898734177215,"111    [[146.50196078431372, 206.0], [146.50196078431...
Name: Contours, dtype: object"
3,38.0,3.0,136.94580675643752,202.59036144578315,"157    [[147.50196078431372, 205.0], [147.50196078431...
Name: Contours, dtype: object"
4,38.0,4.0,137.83737302149774,202.79518072289156,"207    [[148.50196078431372, 205.0], [148.50196078431...
Name: Contours, dtype: object"
5,38.0,5.0,138.82532482872668,203.81927710843374,"256    [[149.50196078431372, 207.0], [149.50196078431...
Name: Contours, dtype: object"
6,38.0,6.0,140.75716153127917,204.67619047619047,"306    [[155.50196078431372, 209.0], [155.50196078431...
Name: Contours, dtype: object"
7,38.0,7.0,136.438295812152,203.77777777777777,"356    [[146.50196078431372, 207.0], [146.50196078431...
Name: Contours, dtype: object"
8,38.0,8.0,135.89242988334573,203.63291139240508,"407    [[145.50196078431372, 206.0], [145.50196078431...
Name: Contours, dtype: object"
9,38.0,9.0,137.95572102258623,203.64556962025316,"462    [[147.50196078431372, 206.0], [147.0, 205.4980...
Name: Contours, dtype: object"
10,38.0,10.0,137.95572102258623,203.873417721519,"516    [[147.50196078431372, 208.0], [147.50196078431...
Name: Contours, dtype: object"
11,38.0,11.0,138.9177463390419,204.0506329113924,"571    [[148.50196078431372, 209.0], [148.50196078431...
Name: Contours, dtype: object"
12,38.0,12.0,136.52599949070537,203.9220779220779,"628    [[145.50196078431372, 209.0], [145.50196078431...
Name: Contours, dtype: object"
13,38.0,13.0,136.06792544178165,204.40740740740742,"688    [[145.50196078431372, 209.0], [145.50196078431...
Name: Contours, dtype: object"
14,38.0,14.0,136.550657731447,204.21518987341773,"748    [[145.50196078431372, 208.0], [145.50196078431...
Name: Contours, dtype: object"
15,38.0,15.0,137.38610076942166,204.2405063291139,"811    [[146.50196078431372, 207.0], [146.50196078431...
Name: Contours, dtype: object"
